"","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","poverty_tier","wave","wave_1","wave_2","tier_11","tier_22","tier_33","tier_12","tier_13","tier_23"
"699","2021-07-31",146712631,1958626,25,NA,0.998730013799089,0.964631283279875,0.662403276068987,0.911464656342513,0.835513004581457,0.917031144167798,0.574636572999973,0.856870157127851,0.663250441394223,0.944153395648587,0.804570799819315,0.88538818328385,0.765043858715848,0.894573501928686,0.49360726590295,0.862587820561477,0.939259344589541,0.759054349969893,0.644458177089706,0.919043813999994,0.58686192722131,0.340662972381369,0.580427291761734,0.534557614145096,0.643285448429504,0.823957242044438,-0.000873595858532176,0.482441666688385,0.552361449204498,0.419835249965899,0.403259737882607,0.215989772966336,0.341612724193039,-0.024789912795829,0.400772562892154,0.193727667994857,0.0470224141962934,-0.0388783463075106,0.900024436730946,0.237732982535527,-0.0238890056712708,-0.0446857329933019,0.46216725641048,0.212455592456781,0.258436998181417,-0.0727774390923054,-0.0212653110164538,2803453,5,2,0,1,0,0,0,0,1,0
"700","2021-08-07",149516084,2803453,25,NA,0.991621064478702,0.979903288640682,0.746551480170951,0.923806735412898,0.891654455106418,0.905398519578825,0.205696402982991,0.647993947782426,0.890851190689685,0.97736409815552,0.892413688816188,0.878440974468065,0.763158926774901,0.886375128657405,0.494497808897851,0.903383254717547,0.933496859764507,0.593863568148553,0.864933442825946,0.892172792088071,0.439348831340365,0.634425937243894,0.568876411517533,0.794269744839768,0.773440064157331,0.869398958450865,0.120954035928062,0.590256507877544,0.632694465173341,0.472790780639694,0.573592967672988,0.39064905519771,0.375861362930806,0.0211835078152801,0.425511534704318,0.225621910999667,0.0965474106881828,0.00972467327616684,0.833453926573823,0.266187799666332,0.0833353278623218,-0.116055614227538,0.4025435018559,0.110822593756109,0.371132914764411,-0.0218594967209019,-0.223906661790454,3498506,5,2,0,1,0,0,0,0,1,0
"701","2021-08-14",153014590,3498506,25,NA,0.995660390291642,0.99436123246838,0.836482245393026,0.965979189653076,0.906795694021585,0.939253217015452,0.983980341157071,0.86347894718297,0.979688803978209,0.972473844611777,0.917711762648477,0.916038290606591,0.777020468551173,0.923317689332454,0.600962905109203,0.914721664162417,0.95550253383085,0.473418369370483,0.926095216026162,0.836016928782017,0.757082350106377,0.818949308659064,0.703042725056958,0.90357920076625,0.828285467499472,0.905154409260936,0.30839429637896,0.477826939508836,0.676742506710957,0.588686516067143,0.599516143871988,0.421701153814246,0.419566289430995,0.0271456214782531,0.430777149164324,0.291670481287146,0.163524055801782,0.162648771792208,0.847637335923942,0.232184321751437,0.19113822785495,-0.176464398875379,0.352781276733295,-0.0199782545609526,0.519927353405059,-0.0104230683686538,-0.059928484849456,3882010,5,2,0,1,0,0,0,0,1,0
"702","2021-08-21",156896600,3882010,25,NA,0.994992180335701,0.993808137894136,0.943363209489679,0.98578650458677,0.901738025914071,0.951386386555836,0.941516601468448,0.884606269554801,0.987463030638504,0.92535714106505,0.843986674348532,0.930215520493118,0.728921975510278,0.948829333631357,0.741192010303951,0.918910302064056,0.942836682458261,0.403613914892141,0.925588019321261,0.812604019839486,0.73082362534684,0.861995082033597,0.82471437975195,0.931580293599241,0.883016619463911,0.903743271147674,0.481785520087182,0.604953838007675,0.717931540748795,0.632796706432282,0.550749476443226,0.485233001602363,0.393659337775346,0.191250081311778,0.473787933898508,0.389956443352205,0.158538256678253,0.1900024481077,0.81308756420541,0.280234487293582,0.129392012122047,-0.298615470247337,0.177171263705199,-0.0512492644429326,0.547231956069041,-0.0275224157280814,-0.220027780260384,4131919,5,2,0,1,0,0,0,0,1,0
"703","2021-08-28",161028519,4131919,25,NA,0.976839279376156,0.973239433649488,0.942739012541256,0.992442575766712,0.844580917467827,0.874065191298806,0.628265260766261,0.874030884838666,0.980554610592668,0.895139511508708,0.733503221967565,0.844662410365301,0.621173636902635,0.909387397186541,0.869863478724095,0.879352961306246,0.913591976270389,0.458755307538772,0.873353682601363,0.670704052008604,0.687174032958436,0.860734200033988,0.912894429344609,0.865655480001129,0.95260032558006,0.915423373222489,0.465627175416176,0.764232870967663,0.718833533875146,0.622223127943575,0.482535368417179,0.554765181930032,0.366362114588058,0.16445076174764,0.351414293347503,0.466100152823023,0.155602452747397,0.332290910052209,0.635167299921815,0.167705786737821,0.118138783483693,-0.403590609047951,0.0736466944924055,-0.080783000370032,0.581395813215046,-0.167842702946666,-0.234768017371097,4202415,5,2,0,1,0,0,0,0,1,0
"704","2021-09-04",165230934,4202415,25,NA,0.961950738144817,0.924394561319236,0.956365569158544,0.820559230564529,0.800344996367216,0.806598887029268,0.649393109346483,0.806817143052135,0.975006698651356,0.802645143739315,0.578866913041136,0.47387026693168,0.479308020562893,0.753271384785198,0.769257777607146,0.743684986391681,0.847920973144111,0.632045060565525,0.731916149591448,0.311712515460121,0.437744595014481,0.760829943181443,0.900700311298791,0.845477944699275,0.602042516010408,0.924297274630187,0.478417512796748,0.708139963593166,0.720462542065897,0.508826902885048,0.479904555098136,0.583388859047341,0.238151239965513,0.152109935044834,0.298561084226957,0.439445897532695,0.190481428054453,0.21543557769192,0.334788279546237,0.138754942218545,-0.0128150675977913,-0.411986423212691,-0.130660486717092,-0.0435622916309894,0.445629678472497,-0.200081005480676,-0.149369473969062,3793195,5,2,0,1,0,0,0,0,1,0
"705","2021-09-11",169024129,3793195,25,NA,0.971322701610519,0.796877364115795,0.939069487438345,0.739734043685785,0.778001943807074,0.81093617405102,0.531139859970357,0.802237347150395,0.92080415876213,0.516798449935928,0.438598718253901,0.104916449785113,0.390314618152306,0.442364494482449,0.67273159373022,0.544241469789372,0.792930211854884,0.567898105247701,0.56706630447443,-0.109773517314511,0.218808451025139,0.59076272885462,0.727966174386159,0.794017260359642,0.239073847992573,0.855338648204391,0.277047218846264,0.511360376420014,0.688113689556787,0.419527155298293,0.437351357702182,0.485909004733627,0.174746411369828,0.0295522580990453,0.238786917294957,0.303719737602501,0.175719863195841,0.232101391788718,0.10763956330635,0.11678971932192,-0.1318179525303,-0.392985949809363,-0.149648660000646,-0.101064427245952,0.395701071209475,-0.183380882968494,-1.2927425900503e-05,3776118,5,2,0,1,0,0,0,0,1,0
"706","2021-09-18",172800247,3776118,25,NA,0.805934997642353,0.581470103301152,0.837562786742839,0.529419870606667,0.525059808374756,0.68309858254597,0.718823358936032,0.600198221068261,0.744447966783445,-0.121305667398786,0.33778956944488,-0.00353676224947214,0.262556780702806,-0.0553906382917661,0.698103346575459,0.389372762703968,0.591729666761996,0.495663707567772,0.439220360222039,-0.23724020960657,0.26294685604235,0.382383582420539,0.657605839261046,0.529385428696082,0.34033383600358,0.48735949707702,0.147117986396285,-0.104379459721279,0.450674366530827,0.051191856858511,0.147714668160948,0.257463673618257,-0.0855973429546788,0.105029337126354,-0.0633708269221329,0.138163412258982,0.0309899225822781,0.261600621147834,-0.142892229249817,-0.0579499271304432,-0.204129015003675,-0.39688265174759,-0.180945670439123,-0.0357771209187345,0.0620901358739159,-0.286777946741613,-0.124834608882758,3194358,5,2,0,1,0,0,0,0,1,0
"707","2021-09-25",175994605,3194358,25,NA,-0.96394065346867,0.382055673665241,0.751344560008834,-0.547970146567721,0.10316250478273,-0.0968075639283513,0.604746907433356,0.278643337374101,0.620373359135055,-0.498501631023393,0.17137060076041,0.183277222907921,0.246752475320798,-0.409731849926571,0.733713820442484,0.47581299099434,0.437468565147592,0.342547218989314,0.438269512247417,-0.276907616932786,0.0824815693702048,0.0261382314203534,0.53118786187269,0.381927142438008,-0.214652025461565,0.256757182345617,0.131202210697834,-0.279443410254278,0.209341402500256,-0.171918038032977,0.389519041111476,0.0142296953593802,0.136703389114592,-0.348037203130701,-0.298242238158917,-0.00470747418546288,0.00230932896856388,0.292638622457709,-0.204698484546009,0.0484859179313227,-0.265547048518439,-0.162856834879755,-0.127643110156844,-0.135255613005701,0.107280151549483,-0.2501542307385,-0.100934060051612,2759017,5,2,0,1,0,0,0,0,1,0
"708","2021-10-02",178753622,2759017,25,NA,-0.035185768682164,0.0321068153598457,0.387769412595474,-0.200698734736659,-0.129945931314489,0.247892816267505,0.50781096915143,0.323774474154454,0.511929472407956,-0.660412964311729,0.115114593196927,0.182140524132385,0.0597038654527927,-0.52180418489358,0.0709871881509913,0.433946407180385,0.201192763386318,0.21992862478185,0.336146885664789,-0.0778672494256665,-0.0832703574144475,-0.0997980328143522,0.431814194955642,-0.0701789585017387,-0.198071385770656,0.228774795850669,-0.115406128962115,0.0509820776082759,0.0973377186143118,-0.173172058423922,0.493457427061487,-0.21571642738056,0.136145384309369,-0.315187509571911,-0.396984820461271,0.0582877462702134,0.0891994319687424,0.218100376836946,-0.257808645957788,0.00466600581805768,-0.192635654023162,0.116722159658704,-0.255120867807797,0.00720067705114742,0.0555188341023192,-0.227841790506609,-0.264027181163853,2479198,5,2,0,1,0,0,0,0,1,0
"709","2021-10-09",181232820,2479198,25,NA,0.653940259228448,0.573125777954749,0.622506749737127,0.483881882630698,0.462434605478274,0.714991977749101,0.661668584829069,0.64388069627776,0.482043464296642,0.636216187721972,0.315713155223462,0.341163585855394,0.124584927898829,0.186343300259635,-0.0281086781357396,0.625749762861952,0.0313014265607789,-0.0902313960722068,0.311021055473385,0.540563072465131,0.269636969992822,-0.0462755596948407,0.333265536537344,0.0804931147354108,-0.0550683650534067,0.213257896076154,0.148936700916533,0.0080946339595342,0.425488799514947,0.112361907188788,0.4798647044988,0.244825962925643,0.0304016729153505,0.148107240113768,-0.180003355048922,0.0950765118296318,0.0165606957465017,0.0322135964076257,-0.265313831882419,0.191294197887776,-0.327560528914694,0.0317100258167421,-0.0800032415122344,0.27306170915705,-0.0555297983053192,-0.0908498789289428,-0.334063564450812,2158677,5,2,0,1,0,0,0,0,1,0
"710","2021-10-16",183391497,2158677,25,NA,0.992661675406524,0.787349499114496,0.963825074131515,0.882320408079741,0.683349662204751,0.78801227963406,0.800557719788845,0.819529558770948,0.608267487413621,0.77470675627522,0.452910465780157,0.655072806428374,0.377411010834376,0.64963051969724,0.127724639304245,0.700422466326317,0.175283690795979,0.201729009533827,0.305140664953765,0.327181584151132,0.27698289179863,0.0356918712181377,0.338644917413685,0.203126583515894,0.20888151409302,0.21461493146279,0.379741306075439,-0.0628072980117629,0.698672127229828,0.274603149714988,0.432864011427558,0.427656472605635,0.091669971334735,0.34244623905702,0.0696272888827937,0.110765273460906,0.105419836036924,-0.0405024515198632,-0.0579815092331274,0.373168592663219,-0.272291447508314,-0.0870723730216957,0.0494483947514814,0.115283349878171,0.0319907344538079,-0.164446551384965,-0.298017459842642,1895279,5,2,0,1,0,0,0,0,1,0
"711","2021-10-23",185286776,1895279,25,NA,0.992171081979161,0.772854065741386,0.955924023892051,0.972618014287477,0.7150894970258,0.782934883159017,0.823246750400639,0.886604261406286,0.44561000175585,0.889004008886269,0.317476015555941,0.636184668071683,0.579409432069243,0.843826689017965,0.117558621476687,0.579183458858566,0.35046472740417,0.532826579005018,0.0832046306211865,0.0909244951221186,0.586090591156449,0.128246750862952,0.544011610752948,0.0417418114540258,0.398165768650657,0.363952493385819,0.528758579363789,-0.173855500362703,0.806928630202394,0.511224064308173,0.248133801264722,0.570172744090838,0.000310328407794665,0.431718498797135,0.207251576220409,0.280603662830499,0.110818474763261,-0.0830187922473875,0.00592541513562965,0.230035346535939,-0.21647924905413,-0.144066154202549,0.258874462871174,0.133586842936162,0.0677559178691054,-0.0463983416237692,-0.285583117651447,1791305,5,2,0,1,0,0,0,0,1,0
"712","2021-10-30",187078081,1791305,25,NA,0.988438098378439,0.820553775656851,0.975807249648555,0.977000865465766,0.598280680343992,0.873711735789765,0.728450861011887,0.949000122363134,0.431758585440232,0.984018887700925,0.365300168825,0.655872002782789,0.593203043902099,0.868697326049852,0.226190029000017,0.565320078412185,0.51883030982844,0.427601771076709,0.0480881806556384,0.0743886506270666,0.719594889884964,0.183973193614492,0.579795112350064,0.0450743873130563,0.267595638847707,0.242993312928779,0.371473909634644,-0.150336563729937,0.688467186696734,0.452621490899821,0.115520749462299,0.683270104030922,0.0344919536567939,0.340631207469106,0.00460000357189523,0.160387392429253,-0.0205454678094888,-0.00902961502174597,-0.272658291312525,-0.0143367159651952,-0.14800832522438,-0.293099185494574,0.131436375533173,0.042531445246201,-0.0470873861444114,0.0500408671892554,-0.00564966795672568,1867995,5,2,0,1,0,0,0,0,1,0
"713","2021-11-06",188946076,1867995,25,NA,0.978858679144555,0.95446707042179,0.99079010116681,0.973370964478875,0.760075423994169,0.847867289445105,0.823254948464838,0.882326481586763,0.644533791238139,0.931000632830124,0.63575748063741,0.647302942413538,0.60801140599882,0.804872750045373,0.240041554471293,0.551073882726597,0.631321464735987,0.727816161270003,0.037025816870816,-0.10108554094201,0.83102940645181,0.330752576084909,0.703543978231014,0.368657627626391,0.308086849586338,0.433441802426832,0.582332498356617,-0.311351026861433,0.683482447631975,0.444158416944406,-0.004730453250262,0.668109952599914,0.0909544079808117,0.534796899611674,0.0128572370771647,0.320987469766803,-0.163863676545822,-0.139020033575909,-0.191308485691238,-0.0663301840377039,-0.204342201793422,-0.23465944452922,-0.00976098024473069,0.0804204147199356,-0.0951273671341384,-0.169008270753635,-0.0325422200208576,1948113,5,2,0,1,0,0,0,0,1,0
"714","2021-11-13",190894189,1948113,25,NA,0.995780166141813,0.987428525547798,0.991729444024214,0.97977602363831,0.896880298939968,0.848147363011005,0.859486132287683,0.973920796601445,0.733350694845687,0.971423455587261,0.715228339598316,0.725813348637497,0.788726731629918,0.836092678680003,0.560573886460241,0.660215049903773,0.826103014400037,0.766021385660984,0.141477384323912,0.0471748649898951,0.775157219672104,0.506953324343433,0.731924675657247,0.401337044623456,0.607175220384738,0.667565992492663,0.593832352647685,0.178229367646655,0.687611350761279,0.539154017326008,0.0553692222517202,0.690132061031788,0.101003748216243,0.588571772876861,0.0857853672015026,0.292518752671659,-0.132117082383884,-0.146360929639439,-0.121806059189942,-0.0349446152936589,-0.242999710766057,-0.350695360755091,0.0654923662006461,0.00640607910219359,-0.0884418483617949,-0.130063721698965,-0.131629395299006,2294652,5,2,0,1,0,0,0,0,1,0
