"","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","poverty_tier","tier_11","tier_22","tier_33","tier_12","tier_13","tier_23"
"551","2021-07-10",221989880,951632,560,0.734891235494602,0.492681594194771,0.518286867085587,0.483998989341923,0.433157644483795,0.369497431598833,0.343272109391817,0.34810767636838,0.360752616438351,0.357320524652639,0.282996350202239,0.269370915877458,0.232959651917134,0.308431760622239,0.237585773597645,0.260799200755743,0.13111979295612,0.193077707487233,0.155149567476691,0.111288234921376,0.121823871806937,0.0988154719793593,0.0594366648056629,0.0682864227626941,0.052585980966706,0.0595151789939962,0.0286291670968234,0.0426249957399117,0.0226681356854499,0.0347825490734779,0.00694795663154545,0.00892239951733609,-0.0120491938307722,-0.0125041993951246,-0.00781825287253881,-0.0222939289608041,0.000623162944270433,-0.0202789258562086,-0.00972718636087782,-0.0347851632672655,-0.039384856338383,-0.031183012662721,-0.0266738712154513,-0.0205813529529679,-0.0276965386828765,-0.0485315721495492,-0.0308472219785482,-0.0327159597667516,1437062,4,0,0,0,1,0,0
"552","2021-07-17",223426942,1437062,600,0.800121671172518,0.640073554075428,0.565976567026001,0.53753502405241,0.484362577012476,0.471471394294527,0.456908951887503,0.451471840977264,0.429420852287484,0.439403779454314,0.373476940960596,0.345658124205242,0.293345340354534,0.347595406764389,0.26309222911488,0.291608299553785,0.167373451651403,0.262233363357799,0.170953330297823,0.145850085808178,0.149290572323232,0.100182387455701,0.0729271927876284,0.0677639956695059,0.0611570522416043,0.0531283293611107,0.0411063211276024,0.0387334625105159,0.0233278027900794,0.0292755054333784,0.0173583158811613,0.0108874354076021,-0.0158411277724942,0.000916341607221147,-0.014016767815765,-0.00464576657881015,-0.00278201653923129,-0.0187492071459755,-0.0125162418044424,-0.0234209092539657,-0.0373379487809612,-0.020661069223658,-0.0189504262030708,-0.0074821070325037,-0.0195003816928026,-0.0346062926063136,-0.0168508146767245,-0.0222848556021077,1933565,4,0,0,0,1,0,0
"553","2021-07-24",225360507,1933565,600,0.725288814797428,0.462051938702353,0.459673291188292,0.447270700695007,0.377725427301421,0.376713221611151,0.417593041261771,0.385014285229756,0.46628914558123,0.383003136251407,0.35281067385999,0.311280609202882,0.273265520071606,0.282964235707082,0.236784010876942,0.268034995981631,0.1816210251599,0.228967896011092,0.170721371815596,0.156615507020081,0.162985598671467,0.110972006049479,0.0812576121353006,0.0753105467251154,0.0718214036231132,0.0581972500838854,0.0612686543431418,0.0562110063357226,0.033779043468359,0.0231518245703115,0.0320739860869735,0.025731666603369,-0.000281046256070933,0.0209110663884024,0.00468200613132012,0.0172046747222359,-0.000114658584135859,-0.0169444668476048,-0.00570155925030412,-0.00886557154980278,-0.019735068194791,-0.0081082075313457,-0.0172562004370179,-0.0126507368771933,-0.0218679921109028,-0.0393195182134294,-0.030507491498254,-0.0383154373365088,3055571,4,0,0,0,1,0,0
"554","2021-07-31",228416078,3055571,780,0.8477291250896,0.772802926514516,0.745860400789319,0.733788104753467,0.671412271107937,0.656099299516386,0.636521723737597,0.644345986625969,0.580085761201675,0.605192774907392,0.531014214239353,0.506286736193142,0.445481942315478,0.46625700722021,0.398322714292497,0.441088679927153,0.356546483569611,0.380240919614662,0.310097772354619,0.291320802417444,0.263963498473541,0.246319961551131,0.208066038124942,0.204791368584768,0.180505376388677,0.172932761514354,0.158046619041556,0.146977222900954,0.105059385392288,0.106284707305539,0.0849740814411047,0.102630589021844,0.0576740606508078,0.0722781650861439,0.0535243916439515,0.0581402965422418,0.0406436065424004,0.0300605388657922,0.0366426489702595,0.0295770230144341,0.00774461172080828,0.0138979883891948,0.0146663077487995,0.00921689473371116,0.0041193340122208,-0.0119482891448624,-0.0102724815239498,-0.0261032741214209,4424093,4,0,0,0,1,0,0
"555","2021-08-07",232840171,4424093,840,0.805461956602315,0.768304848024405,0.715557335553431,0.719299148654111,0.669035815591066,0.662441758702066,0.643728878860135,0.659406115138682,0.604845587647996,0.603002586497436,0.572725244374149,0.548012666563951,0.501516433288572,0.491067899145079,0.446741407409988,0.461729035864002,0.428450757786608,0.40933312461414,0.358013968645411,0.34593519290915,0.304486129732707,0.312746770320108,0.27161927367229,0.258886226357994,0.240136364264725,0.231786886188871,0.213092386233007,0.195895478966803,0.156743568186764,0.158034063459155,0.133850536677497,0.14748266289052,0.110709978149052,0.120493240721544,0.108351994354991,0.0939535904101931,0.080251331971594,0.0796027549196186,0.0731913560467533,0.0621334028265541,0.0318924115566131,0.0350378035564508,0.0416471141599546,0.0262952043688706,0.0282367374767251,0.0106841786093888,0.00932828010521715,-0.00342622784576445,5683775,4,0,0,0,1,0,0
"556","2021-08-14",238523946,5683775,840,0.761809919750877,0.742559568652703,0.706594177343226,0.676468331535247,0.643637290606128,0.629179885218384,0.630242303689164,0.641961153969841,0.576940689372091,0.588635811253069,0.566960134948613,0.556751912860689,0.525490717226905,0.4938477882412,0.460175138305973,0.450043986605447,0.452369052458938,0.406362829662396,0.384906632329252,0.377694327163121,0.343004611995843,0.349741438455388,0.302548857112474,0.288952878588438,0.267988283131598,0.268938595613799,0.238912068736521,0.220539477975399,0.195647585937267,0.186217178722742,0.163731046719591,0.166717644977094,0.12131372963467,0.126884374875934,0.12287841896828,0.0995867711541352,0.0934756362477007,0.0938885225316793,0.0677427616427521,0.0578826887048432,0.0249658529977974,0.0372556857333034,0.0289891880978404,0.0187201759222213,0.0144518180855448,-0.00394561945795151,-0.00520082696278503,-0.0105383492067086,6540605,4,0,0,0,1,0,0
"557","2021-08-21",245064551,6540605,840,0.728017644441445,0.718071042436447,0.707861269558389,0.663417983915365,0.623963204041915,0.642007688269681,0.62737028172268,0.623754103047312,0.560311403553532,0.586410329578139,0.571223630129681,0.566992865553733,0.533468733966456,0.505919916484065,0.483093760900517,0.447456125802257,0.459636132001062,0.42022907450687,0.40630022881098,0.398747328407971,0.378621080156707,0.371613985143946,0.320620574901312,0.300913153046673,0.272260381710943,0.278519389302728,0.249224674119248,0.235116489501315,0.23183235140179,0.205734978564398,0.19131118392926,0.171598229848377,0.123384465947829,0.131324159656511,0.115932236730579,0.101166889602546,0.089306232777884,0.0868571136254258,0.0491957404965953,0.0483662978386932,0.0162996792131607,0.0329456802666313,0.014248969037419,0.00585618602876981,-0.00229943302713992,-0.0231620838536383,-0.0292510502806969,-0.0395218111954175,7166383,4,0,0,0,1,0,0
"558","2021-08-28",252230934,7166383,780,0.698494523001584,0.693807099330249,0.64563637862116,0.641126243720594,0.619832960631502,0.629341377106568,0.613272719575692,0.581917158691353,0.529248747089673,0.539493675167878,0.549072442535158,0.545612271004093,0.498150204783577,0.478957221897152,0.448916196547371,0.409874209786566,0.417731006266089,0.407687622568535,0.382668711626345,0.372088895083248,0.351515379399793,0.337746842263068,0.316202593848342,0.283480220324192,0.248605353398267,0.252958920806897,0.228509967147086,0.215168339824915,0.234747406392116,0.190695736246423,0.176343930154582,0.130085685797386,0.0933562859676576,0.0872929492224054,0.0630502306142136,0.0642883395738916,0.0424015956854442,0.0325026312692733,0.000231345142240609,-0.00608006018592761,-0.0287938567000207,-0.0152450462028878,-0.0429619084031402,-0.0280329108499586,-0.0582150502232324,-0.0652529591417384,-0.0885077006266705,-0.0901875598121949,7640603,4,0,0,0,1,0,0
"559","2021-09-04",259871537,7640603,720,0.664200468114994,0.659871624778693,0.609268885547165,0.626373629159446,0.613664669837929,0.608823380237804,0.581300683247366,0.551978146322078,0.511269979902022,0.51345232694283,0.511623367555538,0.506301560999027,0.465714812239996,0.437169550683797,0.406195078690167,0.385041165801848,0.378547169399975,0.37041500962128,0.354313774803196,0.352390654133571,0.328134957090383,0.304331834590733,0.302540784417799,0.259289738558971,0.231076273982187,0.216917775248716,0.21103044105418,0.202093855834563,0.210407952676541,0.161873643861968,0.152345036931902,0.114696895699367,0.0805328653349559,0.0630697983557015,0.0336065867992433,0.0344557694448928,0.00505443798233384,0.00303760190539814,-0.0252386928701343,-0.0358600768317952,-0.0487443813775209,-0.0560797565315305,-0.0628002327113805,-0.0665790768937884,-0.0825099842570886,-0.0879996864785644,-0.115202257582517,-0.122508281343775,7113133,4,0,0,0,1,0,0
"560","2021-09-11",266984670,7113133,720,0.675678586363549,0.621745705666033,0.585816875342238,0.556084397283995,0.538310754070865,0.546282856835416,0.514260297934364,0.498292572142086,0.482533178205761,0.477476824146274,0.45575387309031,0.438115724683135,0.427048903584197,0.386759471038565,0.377718442635093,0.353143590021414,0.335744821780653,0.326272568978466,0.312092923122207,0.31381272091808,0.291120213886585,0.267881627093243,0.277938677341501,0.221873626226223,0.206519457305672,0.189341248079693,0.187162812901049,0.197909984015996,0.178557225519614,0.135752817249938,0.124023105697556,0.0938065912689221,0.0748475234048837,0.045663968394033,0.0212848814848741,0.0117323542493476,-0.0138775516011716,-0.00263578375730471,-0.0398770221899746,-0.0273987954876068,-0.0655995709920468,-0.068324714038462,-0.0726733877723306,-0.0862649329963301,-0.0910491297998181,-0.0958578645994183,-0.122596238291522,-0.134104814774385,7241580,4,0,0,0,1,0,0
