"","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","wave","wave_1","wave_2"
"85","2021-11-06",188946076,1867995,500,0.890806023932321,0.70100736940856,0.562298204373938,0.71480745552556,0.457222590459541,0.393308980550091,0.457818846989671,0.35929922351347,0.43291872659783,0.439528561941144,0.37539896330366,0.310475628672868,0.289550514802496,0.238573280250733,0.308408797818748,0.240043093982366,0.303639745375772,0.361732053650765,0.2148884653958,0.277671150441652,0.203785412912472,0.308289559139231,0.23990851725289,0.120531690399484,0.202104817141435,0.280734732251658,0.350811384019981,0.365302237789376,0.218519905699514,0.392647871510842,0.270531375349082,0.413852946456941,0.167565732719814,0.304352523259634,0.0206184612616132,0.0514825519123053,0.104980248700868,0.0670516974480906,0.0374063252980378,0.0351413742076316,0.127574596857107,0.0271958876423145,0.0268618687028502,-0.0100632931564433,-0.0333740354737815,-0.0193533495532959,-0.174579170322734,-0.077910585988276,1948113,2,0,1
"86","2021-11-13",190894189,1948113,720,0.887126978323149,0.754501084997417,0.629725337026225,0.678549658440767,0.479369124709354,0.448214505837722,0.49877168162227,0.416827745657737,0.487662636462375,0.540952893580173,0.511253324931019,0.438806246149473,0.388310944691084,0.421042620759724,0.459362373292907,0.423811703506907,0.456643197157566,0.47326362878625,0.278078002263184,0.361599448089536,0.172806901241499,0.36526210495517,0.2610503317176,0.155543939617911,0.239331336183743,0.32572027485669,0.366591558118054,0.373673812208202,0.262586377603259,0.328064138745975,0.292227999803374,0.368655005433174,0.200658661249168,0.343842273157859,0.0949449557878496,0.111930232208422,0.113112935567393,0.0797024373645553,0.0298725978042954,0.0318877650742002,0.081436742821393,0.0148086000999151,-0.0199041677440325,-0.0223888710814284,-0.0816738312677734,-0.0709393707446432,-0.205688863116145,-0.11600609226936,2294652,2,0,1
"87","2021-11-20",193188841,2294652,720,0.887077755561658,0.768896496480765,0.671566404746455,0.633495998298125,0.433235746065868,0.424157024830454,0.469118831275557,0.419659573843078,0.464847310036709,0.497621923515176,0.493855586608241,0.416745601370972,0.428240319511499,0.469016399744271,0.475091502489994,0.450129924144882,0.435225161750988,0.484602018568021,0.293346804732186,0.376204986463327,0.206915720140213,0.406819579675647,0.279817139292111,0.156682565682342,0.312265149123331,0.328143648176005,0.379828369840875,0.352194083561188,0.300712513266721,0.319208970993371,0.28398109878587,0.363630517084331,0.213774954283011,0.372554696509425,0.102628350076187,0.0825501781531849,0.0717083762369373,0.0696466027078419,0.0213657120650437,0.0200278178579858,0.0588236481842779,0.011303706887185,-0.0527171917147013,-0.0234241754835124,-0.111236183250833,-0.0888829670387235,-0.228005515689629,-0.150243508239646,2239078,2,0,1
"88","2021-11-27",195427919,2239078,740,0.869097656697084,0.801802977370839,0.729105331157098,0.751443433491789,0.611820262084098,0.585784354121042,0.607904580742733,0.564103407868436,0.616500226731116,0.641125621950572,0.622859006725155,0.548192679152174,0.541837082026734,0.533334286372384,0.539832161029584,0.505417891265785,0.49338865205576,0.545646236071311,0.348437843090637,0.42405803170114,0.259382494033654,0.444127357371168,0.373018594633624,0.249866936628139,0.40498503294302,0.362676025543911,0.430166281135876,0.383775060318201,0.311040041922834,0.31909577857041,0.289544218051137,0.326307004201796,0.229963228039743,0.330302339293205,0.126292074208745,0.111775025496233,0.113409670377345,0.0758757638999909,0.0528991316552425,0.017109070086073,0.0874980453031816,0.0208356413293832,-0.0187193379538513,-0.00213727352218128,-0.0651791254621372,-0.0536834571121135,-0.166904841156779,-0.129507363167141,2404869,2,0,1
"89","2021-12-04",197832788,2404869,780,0.836821651740144,0.790430162678614,0.702877168771849,0.726893063055374,0.613215170297976,0.650794400837475,0.672253076771138,0.654392035658322,0.691272560359151,0.7108908063615,0.690942619566263,0.615846076035483,0.601923788782809,0.581026952437697,0.601907328536121,0.598256926885982,0.553244651607229,0.598491086212655,0.438355874669026,0.506361469744973,0.368060005523257,0.491963305641039,0.474793305359647,0.378988690824526,0.468168907432001,0.418856663266119,0.467052492289461,0.421242476916003,0.333637516044834,0.311998370724095,0.277281520188502,0.311026022823663,0.245077635131313,0.293358861685541,0.140585766774713,0.154195617611284,0.134750038057517,0.115713069549084,0.114136729107556,0.0133058728802681,0.0950715726875278,0.0458428202378377,0.00637048309709659,0.0167560816698019,-0.0378266464310645,-0.0518824905377971,-0.124461021817207,-0.0840040755601061,3116143,2,0,1
"90","2021-12-11",200948931,3116143,820,0.803115727513318,0.774256283727042,0.650097819979518,0.712011665807776,0.628415309612128,0.654618529088317,0.700337677822437,0.655107517901562,0.710510637867523,0.724403784525576,0.705524463257459,0.653028163174059,0.628264863435302,0.607767647783413,0.603673487063157,0.63873294078745,0.601419746106204,0.624139568480084,0.497723319042993,0.546407296003084,0.448132219721847,0.529631570917958,0.542481953192209,0.468530000908095,0.53743182079048,0.482139809859778,0.506072112449105,0.434047589199984,0.394065625899334,0.325111159879558,0.334957748644487,0.34506220367056,0.30829609227192,0.317743917554216,0.201128340419482,0.224481889677251,0.193896293598155,0.196030703211369,0.194875612427275,0.0514934365028192,0.134946955184843,0.108862132873203,0.0687916394570212,0.0962566347965066,0.0480702539228558,0.0405360245029798,-0.062112827449089,-0.0265810388282909,3243070,3,0,0
"91","2021-12-18",204192001,3243070,820,0.803615465219968,0.796517153595471,0.716689919293504,0.755746334023718,0.647864335390294,0.706709746338269,0.75122826125081,0.666102254830265,0.726907575845138,0.713213221702496,0.705727295360025,0.635706198747175,0.664567758048486,0.639078486804963,0.683312985705085,0.713303232863671,0.622062352121829,0.645963493166408,0.559461007998079,0.616240715574586,0.570314310199484,0.620159251259943,0.502181005310995,0.571872581108251,0.533023500126246,0.542896475538328,0.479615551623036,0.390842717054245,0.445548457436399,0.302336915876795,0.359851050481425,0.308379628834115,0.348972675556186,0.30611316437551,0.274097778455836,0.29401069140876,0.24662883810671,0.261306695860497,0.233754903327161,0.120589832201351,0.149626348582546,0.155509187747181,0.131470471155682,0.163973574297331,0.100572682035734,0.122649120922559,0.0550146705887395,0.0314301795878805,4668300,3,0,0
"92","2021-12-25",208860301,4668300,700,0.731303932296449,0.702073762226509,0.681925536450124,0.708022188060547,0.586783667023309,0.601300637709233,0.509503387652167,0.452862645054306,0.515536008288324,0.449053144533604,0.545721180641018,0.364929409635737,0.522705676855448,0.426399276586114,0.524248927295294,0.484141193210276,0.372830894918234,0.271795419893786,0.316122010161996,0.310363493504641,0.363081598624693,0.34265008991882,0.229213722051635,0.284240285948313,0.358784920175194,0.293054404417938,0.288476675010647,0.240520521512345,0.407464198837904,0.309016813509723,0.312482984952656,0.234289981443064,0.290296832460589,0.0316978659270388,0.105322178563664,0.164836663683944,0.113834670515347,0.163348201584099,0.208492843560525,0.0719494060299432,0.0621926962858799,0.130605880405728,0.15112806707658,0.173416809592373,0.0563864118880813,0.0638005437192586,0.0968491758968398,0.0579510930301551,9505986,3,0,0
"93","2022-01-01",218366287,9505986,420,0.780432641661174,0.742106712220589,0.596742430565055,0.505593142201179,0.383058895565839,0.389531645842443,0.325233127442625,0.274473505896705,0.308721204903779,0.236043832104249,0.306234569607498,0.162689426040464,0.231077438540646,0.338042689184308,0.276817050162279,0.361966031000283,0.291117536107969,0.192627147160415,0.193152737220643,0.0713083587855684,0.243857101500355,0.201096186862244,0.106154961100249,0.181068832482326,0.302763736937403,0.147368029646679,0.219015748036922,0.184708947242135,0.418379689919955,0.289383189922636,0.255419833909547,0.238740510147665,0.160903403791917,0.0226309342054275,0.0366397667371833,0.10206097189984,0.108748182276707,0.149960291109311,0.150352061779854,0.0117359719664253,0.0414572777177857,0.0777143044265015,0.075523150593257,0.0452793841353445,0.0201634789494498,0.0317168985446881,0.0517667727531462,0.0579895686977182,18184560,3,0,0
"94","2022-01-08",236550847,18184560,320,0.798838124916755,0.770993635969751,0.580456973624099,0.501626902474047,0.439108123806498,0.454736695614699,0.3853970228168,0.338191455182581,0.360926734319251,0.281055740624338,0.31553201426765,0.158304902452223,0.232544956966331,0.363350823404881,0.146836241547457,0.335039651968994,0.196637597990754,0.14727589717729,0.18835632964438,0.0935051357853742,0.254289328247613,0.109412901223336,0.0751591747784748,0.151767107409368,0.253401089645773,0.119972378180854,0.127624191837682,0.144541748475046,0.214634628944632,0.1665280730207,0.24566105392845,0.250807933128856,0.125619109299763,0.13722426995862,0.0964264072365518,0.0467684065705522,0.0671065367492817,0.134851302785071,0.13602174780336,0.0686559492379777,0.0797528973660926,0.0663341951135067,0.0393405539516308,-0.0167628557126492,0.0112502527733451,0.0992031241415315,0.0598930209270639,0.0856618468174664,24277751,3,0,0
