"","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","region","northeast","midwest","south","wave","wave_1","wave_2"
"1","2020-03-28",301511,0,80,0.458668286147638,0.24410225440319,0.144237146204887,0.189840847448213,0.0439250406898101,-0.126744627516683,-0.211836017876613,-0.228676728389613,-0.323491815994397,-0.275612270494274,-0.273968966412402,-0.265005378499152,-0.275252252451325,-0.132023319937333,-0.180812836425892,-0.0218613443106985,-0.130366618314636,-0.00953909566409786,-0.0630573491725621,-0.161577544630969,-0.0958118449279613,-0.088279462613912,-0.212484293215351,-0.136777475886319,-0.191664812495171,-0.178989788022628,-0.194829028005377,-0.251408602304004,-0.459948694819395,-0.228430703193311,-0.340242484108878,-0.0258414817615353,-0.71714888580983,0.386819875052585,-0.6514215586716,-0.534862267406666,-0.797274860147522,-0.483802665527257,-0.970097452229086,NA,NA,NA,NA,NA,NA,NA,NA,NA,654167,"Northeast",1,0,0,1,1,0
"2","2020-04-04",955678,654167,100,0.626397709081858,0.476986808530487,0.239622732806043,0.192144549615238,0.069755595733908,-0.125890234363704,-0.296615658894507,-0.282020304919105,-0.469659518251459,-0.348338948672281,-0.412224832871289,-0.368650230209774,-0.333928728271959,-0.206370166969063,-0.211610813873542,0.0329136078010042,-0.169226663058928,-0.0497797916888052,-0.187094125034006,-0.174582290555801,-0.191938072385439,-0.183512753050451,-0.360978512509844,-0.24308323825052,-0.276168824416414,-0.269189180951472,-0.308250208168944,-0.344321463486028,-0.529696722255448,-0.328402634350677,-0.498179004684296,-0.128034162648895,-0.97444946795781,-0.521602991054507,-0.902257083379643,-0.498685044165752,-0.784982685835132,-0.482507108273127,-0.99750623000395,NA,NA,NA,NA,NA,NA,NA,NA,NA,997884,"Northeast",1,0,0,1,1,0
"3","2020-04-11",1953562,997884,100,0.711754122437155,0.647935543408953,0.31043687389339,0.169870997116453,0.0808726095317248,-0.108893227864285,-0.30520795322425,-0.307692068773669,-0.569996803464915,-0.445322627986183,-0.509597912605509,-0.509353389055261,-0.399153742342364,-0.322594604689598,-0.242765722969725,-0.0345337828064518,-0.221374868296087,-0.134018074820427,-0.298861459435722,-0.249132956269034,-0.278312710259137,-0.287370727412544,-0.459255569607316,-0.347901355418459,-0.363424618214124,-0.362562662599973,-0.349074381408561,-0.372603025117992,-0.490250706905044,-0.362612500730407,-0.533229956210586,-0.343636458788527,-0.991244800368783,-0.571173892349009,-0.883898886663312,-0.466209341984541,-0.740496353095962,-0.491637276181109,-0.999999813579061,NA,NA,NA,NA,NA,NA,NA,NA,NA,950710,"Northeast",1,0,0,1,1,0
"4","2020-04-18",2904272,950710,100,0.665795536829502,0.628864950904504,0.230480655110088,0.100554542553777,0.0530718171447889,-0.150015352264165,-0.307997206540489,-0.185721834556109,-0.461325188349261,-0.359340772086681,-0.414576697943512,-0.397913571355336,-0.301060944424723,-0.162460231133034,-0.100231467638665,0.150573051626923,-0.0179931482634368,-0.0671640037550378,-0.38685597513422,-0.234822700696148,-0.44725640508041,-0.302844049963567,-0.581565088863969,-0.466979953004566,-0.553509136858137,-0.434870105652331,-0.452311014081042,-0.520244278012104,-0.607635031841798,-0.501826319151466,-0.664576614887201,-0.719631246415991,-0.874351725368386,-0.493643544810149,-0.924526443820764,-0.494417485424919,-0.723629480134066,-0.504294584168885,-0.975853573887718,NA,NA,NA,NA,NA,NA,NA,NA,NA,914399,"Northeast",1,0,0,1,1,0
"5","2020-04-25",3818671,914399,80,0.521178605765891,0.543973557338721,0.122209850252939,0.00609626404896993,0.0064914389523756,-0.145296061132583,-0.302223163033114,-0.1650980967354,-0.337141448998262,-0.289006600751499,-0.263682081012691,-0.279954028893666,-0.190851567233942,-0.0646374749691704,0.0567067838143487,0.275737809169493,0.108974405009719,-0.0450371459938269,-0.37418821377237,-0.180622761100073,-0.480230902328805,-0.300501532493473,-0.617579727656356,-0.5080437482619,-0.613361005137604,-0.458093297399051,-0.545146455148542,-0.571160491504285,-0.537940191285087,-0.587443274040643,-0.685023411413469,-0.729231997671074,-0.772859338639713,-0.467637569879685,-0.844047587554269,-0.469138161801427,-0.681244501915108,-0.494859797426488,-0.980332472284958,NA,NA,NA,NA,NA,NA,NA,NA,NA,936446,"Northeast",1,0,0,1,1,0
"6","2020-05-02",4755117,936446,80,0.455789794520849,0.388393733381004,0.185165371713411,0.086661144969481,0.016357544024565,-0.148919374426082,-0.20420526197192,-0.102326734466848,-0.250931398552091,-0.137083213151192,-0.135698064047277,-0.228793820680903,0.0295784061776809,0.169481408638496,0.204200838275066,0.27604241043295,0.180546432885558,-0.0122462893395597,-0.287738377550906,-0.164509793372937,-0.421850456957874,-0.34391847285827,-0.638067520026326,-0.589489040100941,-0.665158187911546,-0.573617461009194,-0.614524166232475,-0.627378944738557,-0.47133689679123,-0.796997848437121,-0.691460413463338,-0.669190272594796,-0.85955756226401,-0.516458526468115,-0.934528000169567,-0.542162402137142,-0.753491289202946,-0.567743995765541,-0.998050832154118,NA,NA,NA,NA,NA,NA,NA,NA,NA,864677,"Northeast",1,0,0,1,1,0
"7","2020-05-09",5619794,864677,25,0.189545675294142,0.224705413602103,0.0895675339193508,0.0668362178245275,0.0920142607987543,-0.092767927604858,-0.161687008129639,-0.0678596674397017,-0.146666229705084,-0.263354171293774,-0.0168899839162229,-0.199145497720375,0.181635957471353,0.165447813762679,0.316544040210404,0.40646168887821,0.264279226087847,0.147314564981795,-0.188957549672654,-0.155265966657624,-0.421360492541675,-0.264617456862806,-0.569760487689617,-0.680141655133974,-0.749642812175629,-0.622072522987719,-0.588912330173809,-0.732904112041071,-0.553443815539171,-0.919297976470496,-0.562480457171082,-0.896077710355446,-0.997252710827366,-0.702273426344869,-0.962315672880647,-0.710431624400004,-0.770496128345223,-0.694389734918234,-0.957467270798047,NA,NA,NA,NA,NA,NA,NA,NA,NA,757822,"Northeast",1,0,0,1,1,0
"8","2020-05-16",6377616,757822,25,0.149660620859572,0.240926206315139,0.13497913190143,0.259501187819827,-0.0055904043064023,-0.119094638695797,-0.028121571520684,0.0422383052607267,0.192027725776737,-0.112730032611125,0.182664559513766,-0.0592219946611362,0.145655201436737,0.0201101130132637,0.305089023705432,0.18451190248595,0.151740818335993,0.158671820102051,-0.0497484092318242,-0.10275781876,-0.303373779386814,-0.0823064109371951,-0.424333378959633,-0.615199891853653,-0.482832784623417,-0.592042754962266,-0.452436597719282,-0.668838105898918,-0.375731918503234,-0.923711866634647,-0.624850398926536,-0.94333315108204,-0.927455904589659,-0.632224736197542,-0.721458407761239,-0.732357964800132,-0.721497014123393,-0.645150517972765,-0.971055859372928,NA,NA,NA,NA,NA,NA,NA,NA,NA,729980,"Northeast",1,0,0,1,1,0
"9","2020-05-23",7107596,729980,25,0.102886232825599,0.276870883634248,0.1978706645712,0.19621235946376,0.0935776460844009,-0.120410152073631,-0.0785708191922886,-0.0416631167683304,0.208685269557301,-0.117104092409124,0.0946177846903781,0.0931191496615672,0.153904599566945,-0.0313104934957129,0.330046100054109,0.193609287162245,0.0161594677481426,0.155403668274655,-0.0569815049087606,-0.0528165950038869,-0.341827917359899,-0.0090953543062139,-0.42918717455427,-0.545226149359952,-0.407813779813956,-0.576559294049969,-0.191217816586456,-0.522799359149992,-0.47155215700163,-0.8509222751726,-0.473986506170709,-0.99963288637964,-0.988104127755732,-0.712700528860518,-0.789603001733442,-0.689306551269796,-0.725369168053558,-0.640363950120901,-0.98286722987667,NA,NA,NA,NA,NA,NA,NA,NA,NA,701811,"Northeast",1,0,0,1,1,0
"10","2020-05-30",7809407,701811,25,0.103622507492647,0.143819066645479,0.0914566864964711,0.138694626164705,0.0242159449480822,-0.128701486335342,-0.0966268128705947,-0.134449267832232,0.152469192473836,-0.203907261790621,0.0953932849498027,-0.0125080150284468,0.00742998057619032,-0.0555196832384786,0.327637639588504,0.123722036919595,0.0934614764785013,0.138849395235796,-0.121030656614168,-0.108295685011912,-0.152599575543559,0.0659504350476135,-0.377969250543286,-0.293913386886501,-0.317815215855509,-0.438697850339142,-0.119040513425891,-0.440850876103976,-0.196018618598472,-0.695016278091935,-0.201958710882722,-0.87819013706849,-0.957735220675178,-0.677585499828066,-0.597989276039463,-0.689771076250527,-0.611517552838714,-0.593638223268841,-0.919519513336361,NA,NA,NA,NA,NA,NA,NA,NA,NA,700354,"Northeast",1,0,0,1,1,0
